id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-499000000,17422,61,-0.0666512494954712,0.510389163127081,1.7083893521461484,4.348711323611676,0.007325859283205
contig-5000000,153304,51,-0.0699025630870648,0.45418253926838204,-3.297384842133791,3.7649469148496904,1.1991560077968852
contig-503000000,15253,71,-0.0820763582790287,0.6468891365632989,14.953281349059345,-3.957300450432796,-1.4006601434179058
contig-504000000,15241,41,-0.0732731753798237,0.372810183058854,-12.743078715053768,-4.567498756575542,3.1700391698796118
contig-507000000,15814,81,-0.0850303058330253,0.648792209434678,15.505040605955607,-3.0948279697654577,-1.9437542999773942
contig-508000000,21836,41,-0.0707597377275249,0.390410331562557,-10.477561553841133,-5.234327809291136,5.189901834096576
contig-515000000,15458,41,-0.0719640436211985,0.38219692068831707,-11.833026311398898,-5.9619493265074,4.89110598296895
contig-519000000,14795,11,-0.0711887360279366,0.5111862115579591,2.1667127538303794,7.718150824723237,4.644974974996715
contig-520000000,14800,41,-0.0725686792379286,0.376148648648649,-11.95187112164796,-5.226955068863759,4.213042509771247
contig-523000000,25077,51,-0.0698669202717215,0.452446464888144,-3.7475911770142374,3.7944675534239836,0.6689568759885984
contig-529000000,14636,71,-0.0847693635203385,0.6570101120524731,15.771533805841615,-4.081243494641081,-2.015803140511102
contig-537000000,14446,71,-0.0846690599352259,0.6567908071438461,16.56236631869807,-4.194041459616368,-2.545410949732185
contig-56000000,59889,31,-0.0791156347844718,0.334969693933778,-15.94476886253152,-3.060678453732408,-5.31585407990442
contig-560000000,24223,81,-0.0854339848697274,0.648061759484787,15.283052735891042,-3.7959291046744945,-2.6075718375734613
contig-562000000,13727,71,-0.0831324303681638,0.654913673781598,16.20711760668287,-2.741249353421704,-2.484003128650959
contig-567000000,13573,71,-0.0836663791559172,0.652692846091505,14.940452167512246,-3.9561809127690193,-0.6318572565004901
contig-569000000,21431,41,-0.0706883115337357,0.39592179552983997,-10.50042934571618,-4.1342467695011775,6.239206602030324
contig-571000000,13572,61,-0.0672488643766245,0.502505157677571,0.8825177322072433,4.587024767965797,0.4220804173493733
contig-574000000,15764,32,-0.0802982330225379,0.332022329358031,-13.62486410430077,2.525657191002472,-9.364658399161678
contig-577000000,16043,71,-0.0830725725184807,0.651810758586299,16.387885890485105,-4.282711455433614,-1.4814326169311047
contig-579000000,13272,61,-0.0665666324077104,0.49841772151898706,0.7219316374233616,4.583642240842018,0.711569539996706
contig-585000000,13071,11,-0.0737740154454399,0.530104812179634,4.911152062640426,10.136323624089977,2.6146268215683683
contig-589000000,12972,41,-0.0720122719263665,0.386679000925069,-11.089236646631779,-4.810683731102415,5.436270600955157
contig-594000000,12884,11,-0.0725163079482422,0.538342129773362,5.295155465103996,8.921268002362789,3.84231016456833
contig-598000000,12702,41,-0.07348773119551,0.37230357424027705,-11.76602272127691,-4.546422968425038,4.294816607077032
contig-599000000,12676,41,-0.06983732219549,0.39917955190912,-10.30898774295842,-4.380102215622602,6.712463690975786
contig-6000000,162632,51,-0.0691091484788485,0.45697648679226704,-3.1750057375337866,3.859087912448742,1.6710734243980205
contig-600000000,12700,61,-0.0676298021355078,0.519055118110236,1.9269122985180582,4.5162848456987525,-0.5059294235284103
contig-611000000,18796,41,-0.0725197287446131,0.3863055969355179,-10.601864175923817,-4.895288838070758,4.925575336590123
contig-621000000,18066,11,-0.0738807674184224,0.547049706631241,6.06010924849539,8.044127621590812,2.6130415674545358
contig-623000000,20566,71,-0.0850388407446076,0.661723232519693,16.357430137788196,-4.656443648678357,-1.3973499405971697
contig-627000000,12093,11,-0.0727596378127382,0.5414702720582161,5.312162777693748,8.53179203519368,2.3435987121588737
contig-63000000,56382,41,-0.0737459381515244,0.37692880706608506,-11.87215172844687,-5.313048409807113,4.677417860585361
contig-639000000,11771,81,-0.0865033123382224,0.652111120550505,15.603101300164127,-4.269982169833425,-2.1369126248816164
contig-640000000,18040,71,-0.0838964295980761,0.653547671840355,15.682673891847594,-2.863199891203604,-2.0597202426079284
